"gasto_total","year","values"
"total","2008",2613.311139
"total","2009",2982.610913
"total","2010",3967.095198
"total","2011",5236.002846
"total","2012",4704.947281
"total","2013",5444.349043
"total","2014",5854.199024
"total","2015",9045.58617
"total","2016",9008.036275
"total","2017",4385.565516
"total","2018",5838.589759
"total","2019",8686.460084
"total","2020",9817.594223
"total","2021",6102.293649
"total","2022",4929.279438
"total","2023",8172.962877
"total","2024",10406.68905
